An explosion rocked the Royal Marines School of Music in a southeastern coastal town today, causing one building to collapse and killing eight people, officials said.
sent_00 | -       | Thirty people were injured and up to 18 were missing and feared trapped in the rubble.
sent_01 | 0.07742 | The blast occurred at at 8:26 a.m. in a lounge in the barracks near Deal, about 70 miles southeast o...
sent_02 | 0.24002 | ``The building has collapsed,'' said a ministry spokesman, speaking anonymously in keeping with Brit...
sent_03 | 0.1911  | ``We've no idea of the cause of the blast at the moment.
sent_04 | 0.07371 | It is too early to tell.''
sent_05 | -       | Scotland Yard said a forensic team from its anti-terrorist squad had been called in to help investig...
sent_06 | 0.25019 | Firefighters used heavy lifting equipment and thermal cameras to search for those trapped in the deb...
sent_07 | 0.25572 | Kent police said 17 or 18 people were trapped.
sent_08 | 0.09544 | The Defense Ministry said seven were missing.
sent_09 | 0.07303 | Ten doctors gave emergency treatment at the scene and 11 ambulances took the injured to two hospital...
sent_10 | -       | ``They are suffering from flash burns to their head and arms, fractures, and the sort of injuries yo...
sent_11 | 0.20642 | South Eastern British Gas sent investigators to the scene but said there was nothing to indicate the...
sent_12 | 0.21679 | Gas supplies to the barracks were cut as a precautionary measure, a spokesman said.
sent_13 | 0.20373 | Guy Platts, who owns a bookstore in Deal, located 20 miles north of the English Channel port of Dove...
sent_14 | 0.07676 | ...
sent_15 | -       | There are dozens of ambulances, police and fire brigade making their way there.''
sent_16 | 0.25017 | Military targets on the British mainland have been attacked several times by the Irish Republican Ar...
sent_17 | 0.07708 | One soldier was killed and nine wounded in an IRA attack on an army barracks in north London in Augu...
sent_18 | 0.24695 | About 60 soldiers narrowly escaped death or injury in February when they were evacuated from their b...
sent_19 | 0.07544 | In July 1982, eight soldiers died in IRA bombings near the Household Cavalry barracks at Knightsbrid...
sent_20 | 0.234   | Three people died later and a total of 51 were injured in the bombings.
sent_21 | 0.26044 | Neighbors were breakfasting, heading to work or asleep in bed when an explosion at a military barrac...
sent_22 | 0.07115 | ``There was a terrific crash which reminded me of the Blitz.
sent_23 | -       | After that, the ceiling started to fall down around me,'' said Joan Betteridge, a pensioner in the s...
sent_24 | 0.25572 | The Irish Republican Army claimed reponsibilty for the explosion, which police said killed 11 people...
sent_25 | 0.26084 | Nearby resident Sean Minnock said: ``I was asleep but woke up with a hell of a jolt ... the bedroom ...
sent_26 | 0.22327 | I woke to find huge slabs of plaster on the bed and floor.''
sent_27 | 0.20641 | From the wrecked, smoke-clouded barracks, ``I could hear terrified screams of agony.
sent_28 | 0.07614 | People started rushing about all over the place.
sent_29 | -       | It was horrible to watch and listen to,'' said Minnock, 28.
sent_30 | 0.07147 | ``I knew people had been seriously hurt.
sent_31 | -       | I saw the rescuers pull out two bodies.
sent_32 | 0.07371 | I knew they were dead when they put them on the floor and put bed blankets right over them.''
sent_33 | 0.07502 | Minnock's wife, Janet, said the roof of their house was torn off and all the back windows were shatt...
sent_34 | 0.07549 | ``The house has been blown to bits,'' she said.
sent_35 | -       | Mrs. Minnock was feeding her 2-year-old son Thomas his breakfast when the explosion wrecked four ter...
sent_36 | 0.07328 | Her next-door neighbor, Heather Hackett, 26, was standing at her kitchen window facing the barracks,...
sent_37 | 0.24861 | Her other boys, Ben, 3, and Joshua, 2, were at her side.
sent_38 | 0.24006 | ``I looked up from the sink and I just saw the whole building explode,'' she said.
sent_39 | 0.07679 | ``I told the boys to run and as Joshua turned a sliver of glass embedded itself in his back.
sent_40 | 0.07044 | ``The whole window was blown across the kitchen.
sent_41 | 0.0761  | I just screamed and ran out of the room.
sent_42 | -       | The bang was so loud I thought the whole house was coming in.
sent_43 | 0.07759 | ``At first I thought for sure Joshua had been seriously injured.
sent_44 | 0.07746 | There was blood coming out of his back.''
sent_45 | -       | Doctors removed the glass and sent him home.
sent_46 | 0.07537 | College student Simon Mitford, 17, narrowly escaped being injured in the explosion because he got up...
sent_47 | 0.0795  | ``His room was completely wrecked by the blast,'' his brother Alex said.
sent_48 | 0.19974 | Of the barracks, he said: ``I heard music playing and then it went bang and there was glass everywhe...
sent_49 | 0.07695 | It was a two-story building but now 90 percent of it is rubble.
sent_50 | 0.07079 | ``I heard a marine scream out, `The band is under there.'
sent_51 | -       | I was scared there was going to be a second explosion.''
sent_52 | -       | An explosion today flattened a military barracks and tore through nearby homes, killing 11 people an...
sent_53 | 0.0753  | The IRA claimed responsibility for the blast.
sent_54 | -       | More than 100 rescue workers frantically dug through the rubble of a three-story building that colla...
sent_55 | 0.24002 | Stunned neighbors gathered outside homes that were damaged or destroyed.
sent_56 | 0.26329 | Chief Police Inspector Alan Butterfield of Kent, who who provided the casualty figures and coordinat...
sent_57 | 0.07512 | He said many of the injured were seriously hurt.
sent_58 | 0.22797 | ``There was a terrific crash which reminded me of the Blitz.
sent_59 | -       | After that, the ceiling started to fall down around me,'' said pensioner Joan Betteridge.
sent_60 | 0.06964 | Defense Secretary Tom King, inspecting the wreckage, said: ``It is not yet absolutely confirmed that...
sent_61 | 0.07771 | British military installations are a frequent bombing target of the Irish Republican Army in its cam...
sent_62 | 0.0778  | The explosion occurred at at 8:26 a.m. in a lounge in the barracks.
sent_63 | 0.24369 | One of the bands had just stopped playing on the parade ground, said a ministry spokesman, speaking ...
sent_64 | 0.14722 | Dozens of homes near the school were damaged, including four that were destroyed.
sent_65 | 0.07556 | Witnesses reported hearing the explosion two miles away.
sent_66 | 0.07603 | The Defense Ministry would not say how many servicemen and civilians were included in the casualty f...
sent_67 | 0.07757 | However, King told reporters the attack was directed against ``unarmed bandsmen.''
sent_68 | 0.07644 | Firefighters used heavy lifting equipment and thermal cameras to search through the debris, said Ken...
sent_69 | 0.07733 | Ten doctors were giving emergency treatment at the scene and 11 ambulances were taking the injured t...
sent_70 | 0.24861 | A statement telephoned to Ireland International, a Dublin news agency, said ``we have visited the Ro...
sent_71 | 0.21017 | The IRA said Mrs. Thatcher went to the British province ``with a message of war,'' but ``we still wa...
sent_72 | 0.1911  | It was signed P. O'Neill, a nom de guerre the IRA usually uses to claim responsibility for actions o...
sent_73 | 0.07898 | Irish Prime Minister Charles Haughey issued a statement in Dublin condemning the attack, calling it ...
sent_74 | 0.24002 | The last IRA bomb attempt on the British mainland was in February when about 60 soldiers were evacua...
sent_75 | 0.20213 | One soldier was killed and nine wounded in an IRA bomb attack on an army barracks in north London in...
sent_76 | 0.24861 | In July 1982, eight soldiers died in IRA bombings near the Household Cavalry barracks in central Lon...
sent_77 | 0.07556 | Three people died later and a total of 51 were injured in the bombings.
sent_78 | 0.25411 | The music school is the training center for young recruits who want to play in the seven Royal Marin...
sent_79 | 0.07115 | Up to 250 young men, most between 16 and 20, are based at the school, where they receive military an...
sent_80 | 0.24369 | The roof of Janet Minnock's house was torn off by the force of the blast and all the back windows we...
sent_81 | 0.18669 | ``The house has been blown to bits,'' she said.
sent_82 | -       | ``We are all shaken up.''
sent_83 | -       | Mrs. Minnock's next-door neighbor, Heather Hackett, said she was standing at her kitchen window faci...
sent_84 | 0.07466 | She was holding her 4-month-old son Luke in her arms with her other boys, Ben, 3, and Joshua, 2, at ...
sent_85 | 0.07556 | ``I looked up from the sink and I just saw the whole building explode,'' she said.
sent_86 | 0.07324 | ``I told the boys to run and as Joshua turned a slither of glass embedded itself in his back.
sent_87 | 0.07044 | The whole window was blown across the kitchen.
sent_88 | 0.0761  | I just screamed and ran out of the room.
sent_89 | -       | The bang was so loud I thought the whole house was coming in.''
sent_90 | 0.07759 | Sean Minnock said: ``I was asleep but woke up with a hell of a jolt.''
sent_91 | 0.07746 | As workers tried to patch holes in his roof, he said: ``The bedroom ceiling fell in on me.
sent_92 | 0.07383 | I woke to find huge slabs of plaster on the bed and floor.
sent_93 | 0.13139 | I wondered what it was.
sent_94 | -       | As soon as I got up I looked out of what was left of the window and knew it was the barracks.''
sent_95 | 0.07614 | The IRA bombing that killed 10 men and blew apart a building at the Royal Marines Music School outra...
sent_96 | 0.07522 | A huge explosion in a barracks staff room Friday morning leveled the three-story building as bandsme...
sent_97 | 0.26464 | Twelve of the 22 people injured were hospitalized, eight of them in serious condition, police said.
sent_98 | 0.25677 | They said nine of the dead were bandsmen and one other man was not immediately identified.
sent_99 | 0.15584 | Dozens of neighboring homes in the quiet southeastern English seaside town of Deal were damaged.
sent_100 | 0.07575 | Although trainees at the school range in age from 16 to 20, Col. John Ware, principal director of mu...
sent_101 | 0.07437 | They held military ranks but none had been trained as a fighting soldier.
sent_102 | 0.24458 | The outlawed Irish Republican Army, engaged in a 20-year-old campaign to drive the British from the ...
sent_103 | 0.07491 | Residents of the area adjoining the Marines school said Friday that despite government calls for ste...
sent_104 | 0.26394 | ``Anyone in Deal will tell you how easy it is to get into the base,'' said Fred Verge, a 70-year-old...
sent_105 | 0.20613 | Local people laid wreaths and bouquets of flowers at the entrance to the barracks.
sent_106 | 0.20386 | ``There is a great sense of anger'' in the community, Kent police Chief Constable Paul Condon said.
sent_107 | 0.07359 | The Royal Marines Music School is one of 30 military establishments in Britain that use private secu...
sent_108 | 0.19186 | Unidentified defense sources quoted by the Times newspaper today said the civilian guards were backe...
sent_109 | 0.25572 | Defense Secretary Tom King promised a security review and said new measures had already been taken a...
sent_110 | 0.24436 | He did not elaborate.
sent_111 | -       | Martin O'Neill, the opposition Labor Party's spokesman on defense, said on Friday: ``Serious questio...
sent_112 | 0.15513 | O'Neill later told British Broadcasting Corp. television the IRA was ``prepared to take out anybody.
sent_113 | 0.24032 | The cowardly nature of their attacks is such that every military establishment is under threat.''
sent_114 | 0.18505 | He said private security firms were assigned to areas considered low risks for attacks.
sent_115 | 0.07452 | ``If we designate places as being low-risk categories, then it is likely they will be attacked, give...
sent_116 | 0.0742  | ``The big prizes are no longer available to them, so they're picking off the ones which they regard ...
sent_117 | 0.21624 | vulnerable.''
sent_118 | -       | Prime Minister Margaret Thatcher received news of the bombing while aboard a jet over Siberia en rou...
sent_119 | 0.07272 | She called it a ``deeply serious outrage.''
sent_120 | -       | King visited the scene soon after the explosion.
sent_121 | 0.07556 | ``I know that the people who committed it, the godfathers who sent them, actually know in their hear...
sent_122 | 0.07036 | The defense minister, anger clearly written on his face, said that rather than erode the will of the...
sent_123 | 0.24099 | Prime Minister Charles Haughey of Ireland condemned the attack and sent Mrs. Thatcher a message of s...
